asin,availability,brand,category,created_on,description,description_de,detail_page_url,detail_page_url_de,featured,large_image,large_image_alt,large_image_alt_de,manufacturer,medium_image,medium_image_alt,medium_image_alt_de,meta_description,meta_description_de,popularity,price,publisher,slug,slug_de,title,title_de,updated_on,uuid
B0916XKS9X,, Qdreclod,,"06/21/2021, 09:28:52","Langlebiges Material: Polyrattan ist wetterfest und überdauert mitteleuropäische Witterungsverhältnisse. Das reiß- und zugfeste Material hält Regen, hohe Temperaturen und intensive Sonneneinstrahlung mühelos aus. Somit behält Polyrattan über Jahre seine schöne Farbe. Darüber kann Schmutz nicht in die Fasern eindringen und sitzt daher nur oberflächlich. Somit ist es sehr pflegeleicht. Das Geflecht lässt sich bequem mit einem feuchten Tuch und mildem Spülmittel sauber halten.     Komfortable Sitzkissen: Die 5 cm dicken Sitzpolster erlauben es Ihnen über Stunden hinweg weich zu sitzen. Das Kissen ist abnehmbar und der Kissenbezug ist waschbar. Elegantes Seitenband sorgen dafür, dass das Kissen seine Form behält. Das weiche Oberflächentuch bietet ein glattes Finish und ein hervorragendes Gefühl. Die schlichten Kissenbezüge lassen sich dank der verdeckten Reißverschlüsse ohne Mühe abnehmen und bei 30 Grad reinigen.     Perfekt für 4 Personen Sitzgruppe: Die Tischplatte ist aus startkem Sicherheitsglas gefertigt. Sehr stabil und leicht zu schrubben. Auf dem 71 x 41 cm großen Tisch kann kühle Getränke und Knabbereien sicher abstellen. Also ist dieser Set die perfekte Outdoor Ausstattung für Garten, Terrasse oder Balkon, Hinterhof, Pool. Für 4 Personen die gesellige Wochenend- und Abendstunden entspannt im Garten genießen.     Stabiler Stahlrahmen: Ein verstrebtes Untergestell aus pulverbeschichtetem Stahl dient als Gerüst für das wunderschöne Polyrattan Geflecht. Das stabile Stahlgestell verleiht der Sitzgruppe einen sicheren Stand. Durch die umfassende Pulverbeschichtung ist das Gestell gut vor Korrosion geschützt.     Die Verpackung Umfasst : 1x Tisch mit Glasplatte: ca. 71 x 41 x 39 cm (LxBxH), 2x Einzelsessel inkl. Kissen:ca. 58.5 x 54 x 82 cm (LxBxH), 1x Doppelsofa inkl. Kissen: ca. 101 x 54 x 82 cm (LxBxH). Einfache Montage.",,https://www.amazon.de/gp/product/B0916XKS9X?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=f095ad0cac10ccc7e9d2707dbaeaaa4f&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/61j4XiEll6S.__AC_SX300_SY300_QL70_ML2_.jpg,"Gartenm&ouml;bel-Set, Rattan Sitzgruppe f&uuml;r 4 Personen Balkonm&ouml;bel Set mit Sitzkissen, Gartenlounge Set mit 2 St&uuml;ck Einzelsofa, 1 St&uuml;ck Doppelsofa und 1 St&uuml;ck Tisch, M&ouml;belsets f&uuml;r Hinterhof Nachmittagstee",, Qdreclod,https://images-eu.ssl-images-amazon.com/images/I/61j4XiEll6S.__AC_SX300_SY300_QL70_ML2_.jpg,"Gartenm&ouml;bel-Set, Rattan Sitzgruppe f&uuml;r 4 Personen Balkonm&ouml;bel Set mit Sitzkissen, Gartenlounge Set mit 2 St&uuml;ck Einzelsofa, 1 St&uuml;ck Doppelsofa und 1 St&uuml;ck Tisch, M&ouml;belsets f&uuml;r Hinterhof Nachmittagstee",,"Gartenmöbel-Set, Rattan Sitzgruppe für 4 Personen Balkonmöbel Set mit Sitzkissen, Gartenlounge Set mit 2 Stück Einzelsofa, 1 Stück Doppelsofa und 1 Stück Tisch, Möbelsets für Hinterhof Nachmittagstee - Kostenloser Versand ab 29€. ",,27 ,182.99 , Qdreclod,gartenmöbel-set-rattan-sitzgruppe-fuer-4-personen-balkonmöbel-set-mit-sitzkissen-gartenlounge-set-mit-2-stueck-einzelsofa-1-stueck-doppelsofa-und-1-stueck-tisch-möbelsets-fuer-hinterhof-nachmittagstee,,"Gartenmöbel-Set, Rattan Sitzgruppe für 4 Personen Balkonmöbel Set mit Sitzkissen, Gartenlounge Set mit 2 Stück Einzelsofa, 1 Stück Doppelsofa und 1 Stück Tisch, Möbelsets für Hinterhof Nachmittagstee",,"06/21/2021, 09:28:52",d94ec367-9365-4541-b74d-5aed316df11f
B07K4XHT38,, Char-Broil,,"06/21/2021, 09:28:53","Info zu diesem Artikel         Patentierte Holzkohleablage - gewährleistetgleichmäßige Hitze und verhindert Auffl ammen     starke, langlebige Brenner aus Edelstahl     Elektronische Zündung - Anzünden aller Brenner per Knopfdruck - ganz ohne offene Flamme     Deckelthermometer - Kontrolle der Grilltemperatur leicht gemacht     Seitenbrenner - Perfekt um Beilagen zu erwärmen     2 Jahre auf alle Komponenten.",,https://www.amazon.de/gp/product/B07K4XHT38?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=320e24dc8d75998477485e894a14771f&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/41gvNmVzT-L.__AC_SX300_SY300_QL70_ML2_.jpg,"Char-Broil Gas2Coal 440 Hybrid Grill - 4 Brenner Gas &amp; Kohlegrill mit Seitenbrenner, Schwarz",, Char-Broil,https://images-eu.ssl-images-amazon.com/images/I/41gvNmVzT-L.__AC_SX300_SY300_QL70_ML2_.jpg,"Char-Broil Gas2Coal 440 Hybrid Grill - 4 Brenner Gas &amp; Kohlegrill mit Seitenbrenner, Schwarz",,"Char-Broil Gas2Coal 440 Hybrid Grill - 4 Brenner Gas & Kohlegrill mit Seitenbrenner, Schwarz - Kostenloser Versand ab 29€. ",,166 ,, Char-Broil,char-broil-gas2coal-440-hybrid-grill-4-brenner-gas-&amp-kohlegrill-mit-seitenbrenner-schwarz,,"Char-Broil Gas2Coal 440 Hybrid Grill - 4 Brenner Gas &amp; Kohlegrill mit Seitenbrenner, Schwarz",,"06/21/2021, 09:28:53",75379ad6-ee27-4e55-a8b7-58cf4bd90540
B01AUWI4PU,, Allibert,,"06/21/2021, 09:28:53","Info zu diesem Artikel         Sonnenliege in naturgetreuer und offener Rattanoptik, inkl. bequemen Kissen graphit     Kühlbox Ice Cube     Abmessungen (B/T/H) ca. 195 x 65 x 22 cm     hergestellt aus UV- und wetterbeständigem, hochwertigem Polypropylen     geprüfte Qualität",,https://www.amazon.de/gp/product/B01AUWI4PU?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e39eac7e6551e3b289eee294b2a3ece7&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg,Sonnenliege Gartenliege 2er Set Allibert Daytona Polyrattan Rattanoptik K&uuml;hlbox Ice Cube - graphit inkl. Auflage,, Allibert,https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg,Sonnenliege Gartenliege 2er Set Allibert Daytona Polyrattan Rattanoptik K&uuml;hlbox Ice Cube - graphit inkl. Auflage,,Sonnenliege Gartenliege 2er Set Allibert Daytona Polyrattan Rattanoptik Kühlbox Ice Cube - graphit inkl. Auflage - Kostenloser Versand ab 29€. ,,34 ,, Allibert,sonnenliege-gartenliege-2er-set-allibert-daytona-polyrattan-rattanoptik-kuehlbox-ice-cube-graphit-inkl.-auflage,,Sonnenliege Gartenliege 2er Set Allibert Daytona Polyrattan Rattanoptik Kühlbox Ice Cube - graphit inkl. Auflage,,"06/21/2021, 09:28:53",9b495728-66bc-465d-8ff7-13eb9929a26f
B00388B500,, Intex,,"06/21/2021, 09:28:53","Info zu diesem Artikel         Rechteckig Rahmen Pool     Robuste und starke Folie; Hohe Standfestigkeit     Schnelle und einfache Montage     Verzinkte und pulverbeschichtete Poolkonstruktion; Äußerst reißfestes PVC Gewebe     Lieferumfang: Intex Frame Pool Family 260 x 160 x 65 cm, ohne Filterpumpe",,https://www.amazon.de/gp/product/B00388B500?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=1f41650225ec64fa3f2ecffd4b214cfc&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg,Intex Rectangular Frame Pool - Aufstellpool - 260 x 160 x 65 cm,, Intex,https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg,Intex Rectangular Frame Pool - Aufstellpool - 260 x 160 x 65 cm,,Intex Rectangular Frame Pool - Aufstellpool - 260 x 160 x 65 cm - Kostenloser Versand ab 29€. ,,22169 ,149.99 , Intex,intex-rectangular-frame-pool-aufstellpool-260-x-160-x-65-cm,,Intex Rectangular Frame Pool - Aufstellpool - 260 x 160 x 65 cm,,"06/21/2021, 09:28:53",dbb146bc-6e4a-4ab1-9003-ccd5633d5de4
B08HHSW8LT,, Samsung,,"06/21/2021, 09:28:53",Info zu diesem Artikel                          Hygiene-Dampfprogramm: Hygienisch sauber und bakterienfrei – perfekt für Allergiker     Digital Inverter Motor mit 10 Jahren Garantie     Trommelreinigung - Hygienisch reine Trommel ohne Chemikalien     Diamond Pflegetrommel – besonders sanft und schonend     Gerätemaße B x H x T (mm): 600 x 850 x 550                Weitere Produktdetails,,https://www.amazon.de/dp/B08HHSW8LT?psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFQUzg3NjhRTERGRjQmZW5jcnlwdGVkSWQ9QTEwMDgyNTUxQ0oyVk1WUkdMM0xKJmVuY3J5cHRlZEFkSWQ9QTAxNzgwNjcxNFhKUVFCM1laTjhTJndpZGdldE5hbWU9c3BfaHFwX3NoYXJlZCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU%3D&linkCode=sl1&tag=meister002-21&linkId=8d041945df7848b814d0ea6d861759c9&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg,"Samsung WW70T4042CE,EG Waschmaschine , 7 kg , 1400 U/min , Wei&szlig; , Hygiene-Dampfprogramm , Digital Inverter Motor",, Samsung,https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg,"Samsung WW70T4042CE,EG Waschmaschine , 7 kg , 1400 U/min , Wei&szlig; , Hygiene-Dampfprogramm , Digital Inverter Motor",,"Samsung WW70T4042CE, EG Waschmaschine, 7 kg, 1400 U/min, Weiß, Hygiene-Dampfprogramm, Digital Inverter Motor günstig auf Meisteraffiliateshop.com- Große Auswahl von Top-Marken",,1429 ,389.00 , Samsung,samsung-ww70t4042ceeg-waschmaschine--7-kg--1400-u-min--weiß--hygiene-dampfprogramm--digital-inverter-motor,,"Samsung WW70T4042CE,EG Waschmaschine , 7 kg , 1400 U/min , Weiß , Hygiene-Dampfprogramm , Digital Inverter Motor",,"06/21/2021, 09:28:53",3b59c70e-ef71-4ea9-a010-43afab8d7644
B07TPRCS4G,, Bestway,,"06/21/2021, 09:28:53","Info zu diesem Artikel         Größe aufgeblasen: 153 x 74 x 28 cm - Maximale Belastbarkeit: 90 kg - Maximale Personenanzahl: ein Erwachsener     Mesh-Liegefläche mit Hängematteneffekt - Aufblasbare Kopfstütze     Ideal für Strand, See oder Pool - Meer erleben mit Bestway - Ob Urlaub im Süden, an Nord- oder Ostsee - Ideal auf Reisen - Leicht verstaubar     Großartig für Erwachsene und Kinder. Spaß pur - ob Strand- oder Poolparty     Lieferumfang – eine Hängematratze / zwei-fach sortiert - eine Auswahl ist leider nicht möglich                Weitere Produktdetails",,https://www.amazon.de/gp/product/B07TPRCS4G?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=64280c9c84aa4ade88ffa1bea47f3c71&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg,"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert",, Bestway,https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg,"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert",,"Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert bei Meisteraffiliateshop.com| Günstiger Preis | Kostenloser Versand ab 29€ für ausgewählte Artikel",,2302 ,10.90 , Bestway,bestway-43103-luftmatratze-haengematte-160-x-84-cm-sortiert,,"Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert",,"06/21/2021, 09:28:53",e48d2957-fd2f-4722-98d7-f895b45c10a0
,,,,"06/21/2021, 09:28:53",,,https://www.amazon.de/Campingaz-cartridge-overheating-protection-carrying/dp/B07DF2CLML?pd_rd_i=B07DF2CLML&pd_rd_r=822d04d6-5cfb-4c60-a907-ec5720114e87&pd_rd_w=6njyF&pd_rd_wg=k4fYq&pf_rd_p=b1c388c3-48c2-4960-8532-fa8f1477aee9&pf_rd_r=XGK87CBQZN56PNM1EW1K&th=1&linkCode=sl1&tag=meister002-21&linkId=1003c48fd82868c67953338027949aa9&language=de_DE&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,"06/21/2021, 09:28:53",d92512b2-1f60-455f-9475-a0f5462e279b
B07V9LD1HZ,, iRobot,,"06/21/2021, 09:28:53","Info zu diesem Artikel         iRobot verfügt über mehr als 30 Jahre Erfahrung mit Robotertechnologien und hat weltweit bislang mehr als 30 Millionen Hausroboter verkauft. Ob Sie sich für Roomba, Braava oder beide entscheiden - Ihre Böden erhalten die besondere Pflege, die sie brauchen     Staubsaugen erledigt sich jetzt monatelang von selbst. Mit der Clean Base-Automatischen Absaugstation kann der i7+ seinen Auffangbehälter bis zu 60 Tage lang ohne Ihr Eingreifen in einen Anti-Allergen-Beutel entleeren     Reinigt, wann, wo und wie Sie es wollen. - Dank Imprint Intelligente Kartierung können Sie den i7+ genau anweisen, wo und wann er reinigen soll. Mit individuellen Schutzbereichen legen Sie fest, aus welchen Zonen sich der Roboter fernhalten soll     Beseitigt Schmutz im Handumdrehen - Dank Kartierung und der intelligenten Navigation können Sie den i7+ mit einem einfachen Befehl an Ihren Sprachassistenten* direkt zu der verschmutzten Stelle schicken - und zwar genau dann, wenn der Schmutz entsteht.*Ist mit Alexa-fähigen Geräten und dem Google Assistant kompatibel*Alexa und alle zugehörigen Logos sind Warenzeichen von Amazon.com oder seinen Tochterunternehmen. Google ist eine Marke von Google LLC     Dem Schmutz geht es an den Kragen - Mit einem Reinigungssystem mit 3 Stufen, zwei Gummibürsten für alle Böden sowie einer Kantenbürste und extrastarker Saugleistung mit 10-mal mehr Saugkraft* wird hartnäckiger Schmutz eingezogen.*im Vergleich zum Reinigungssystem der Roomba 600-Serie     Passt sich an Ihr Leben an. Hört auf Ihre Stimme - Lernt Ihre Reinigungsgewohnheiten kennen und kann Ihnen so personalisierte Zeitpläne vorschlagen. Dank der Kompatibilität mit Google Assistant und Alexa können Reinigungsaufgaben ganz einfach per Sprachbefehl gestartet werden. *Alexa und alle zugehörigen Logos sind Warenzeichen von Amazon.com oder seinen Tochterunternehmen. Google ist eine Marke von Google LLC     Smart programmiert, gut orientiert - Mit der vSLAM-Navigation lernt der i7+ das Layout Ihres Hauses und erstellt persönliche Smart Maps, mit denen er effizient in sauberen, geraden Bahnen fachmännisch reinigen und manövrieren kann     Armonia Deutschland GmbH - Juli 2020 - kundenservicedesjahres.de",,https://www.amazon.de/gp/product/B07V9LD1HZ?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=3361978785704df8e551d8ada74e12c2&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/61uc4A3dr1S.__AC_SX300_SY300_QL70_ML2_.jpg,"iRobot Roomba i7+ (i7556) Saugroboter, automatische Absaugstation, intelligente Raumerfassung, Zeitplanreinigung, 2 Multibodenb&uuml;rsten, WLAN Staubsauger Roboter, App-Steuerung, Ideal f&uuml;r Tierhaare",, iRobot,https://images-eu.ssl-images-amazon.com/images/I/61uc4A3dr1S.__AC_SX300_SY300_QL70_ML2_.jpg,"iRobot Roomba i7+ (i7556) Saugroboter, automatische Absaugstation, intelligente Raumerfassung, Zeitplanreinigung, 2 Multibodenb&uuml;rsten, WLAN Staubsauger Roboter, App-Steuerung, Ideal f&uuml;r Tierhaare",,"Meisteraffiliateshop Küchen- und Haushaltsartikel online - iRobot Roomba i7+ (i7556) Saugroboter, automatische Absaugstation. iRobot Roomba i7+ (i7556) Saugroboter, automatische Absaugstation, intelligente.",,1478 ,, iRobot,irobot-roomba-i7+-i7556-saugroboter-automatische-absaugstation-intelligente-raumerfassung-zeitplanreinigung-2-multibodenbuersten-wlan-staubsauger-roboter-app-steuerung-ideal-fuer-tierhaare,,"iRobot Roomba i7+ (i7556) Saugroboter, automatische Absaugstation, intelligente Raumerfassung, Zeitplanreinigung, 2 Multibodenbürsten, WLAN Staubsauger Roboter, App-Steuerung, Ideal für Tierhaare",,"06/21/2021, 09:28:53",5970c757-d7d5-42b0-b9ec-6029d7614808
B072VBF6M4,, Oral-B ,,"06/21/2021, 09:28:54",About this item         PROTECTS YOUR Gums: The visual pressure control lights up and reduces speed when you exert too much pressure.     The unique round brush head removes up to 100% more plaque than a standard manual toothbrush     2 cleaning modes: daily cleaning and sensitive.     More than 2 weeks of battery life on a single full charge     Always maintain the right cleaning time of 2 minutes with the professional timer.,,https://www.amazon.de/gp/product/B072VBF6M4?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=4ec86f60f565ce51411bc96597a2457b&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black",, Oral-B ,https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black",,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black: Meisteraffiliateshop Drogerie & Körperpflege",,22197 ,57.14, Oral-B ,oral-b-pro-2-2900-electric-toothbrush-for-extra-gum-protection-thanks-to-visual-pressure-control-with-2nd-handpiece-black,,"Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black",,"06/21/2021, 09:28:54",8bcc4074-23d3-4aee-9f15-8317cf11ea28
B01LY8RWKM,, Samsung ,,"06/21/2021, 09:28:54",                 LED drum interior lighting     SmartCheck - problem solving via app     Condensation level indicator on the tank     Filter cleaning alarm     Care drum     Appliance dimensions H x W x D (cm): 85.0 x 59.8 x 63.8                See more product details,,https://www.amazon.de/gp/product/B01LY8RWKM?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=8726ff23b8fc5be809b1546480cf0ce7&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/81rQ-KOThbL.__AC_SX342_SY445_QL70_ML2_.jpg,Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck,, Samsung ,https://images-eu.ssl-images-amazon.com/images/I/81rQ-KOThbL.__AC_SX342_SY445_QL70_ML2_.jpg,Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck,,Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck: Meisteraffiliateshop Large Appliances,,165 ,, Samsung ,samsung-dv80k6010cw-heat-pump-dryer-a-++-8-kg-lightning-fast-water-tank-check-smartcheck,,Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck,,"06/21/2021, 09:28:54",4da6ff6b-ab1c-4180-917a-7b7902583425
