asin,availability,brand,category,created_on,description,description_de,detail_page_url,detail_page_url_de,featured,large_image,large_image_alt,large_image_alt_de,manufacturer,medium_image,medium_image_alt,medium_image_alt_de,meta_description,meta_description_de,popularity,price,publisher,slug,slug_de,title,title_de,updated_on,uuid
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/gp/product/B07K4XHT38?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=7f3d2293aa0a9457ba7c0c3b98d05b0f&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,7f866304-ad82-489e-adeb-6b45823738d9
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/gp/product/B07V9LD1HZ?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e7162e16eaf19d6ac26f24f8e382c62b&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,4a47e0fd-ec4c-42d8-a54c-c1324e72b286
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/gp/product/B0916XKS9X?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=937deabd476b45ef941a7997a4272bab&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,6594f10c-adae-432a-af15-b9ee0a7a931a
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/gp/product/B01LY8RWKM?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=4b5b7f5d3e5c6ca08439057d4780b768&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,c8fc5146-0648-40f5-b02b-7bada69baed9
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/Campingaz-cartridge-overheating-protection-carrying/dp/B07DF2CLML?pd_rd_w=6njyF&pf_rd_p=b1c388c3-48c2-4960-8532-fa8f1477aee9&pf_rd_r=XGK87CBQZN56PNM1EW1K&pd_rd_r=822d04d6-5cfb-4c60-a907-ec5720114e87&pd_rd_wg=k4fYq&pd_rd_i=B07DF2CLML&th=1&linkCode=sl1&tag=meister002-21&linkId=4fbb25b39fe0cea42cdb31d0aa834f0a&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,040030e4-e42c-42c5-87d6-37042938d16b
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/-/en/Powerblock-Sport-90-EXP-Dumbbells/dp/B000XE7Q5A?dchild=1&keywords=powerblock+sport+90+exp+hanteln&qid=1623833341&s=sports&sr=1-1&linkCode=sl1&tag=meister002-21&linkId=f196f1706c51b0183d3560d65ee39d71&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,e3637ac5-a7bb-4a41-b3ec-0fd41d17bc37
,,,1,2021-06-22 08:40:55,,,https://www.amazon.de/gp/product/B08SQR7JS5?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e2b36d42f57b0e3bb22fe83b010a7186&language=en_GB&ref_=as_li_ss_tl,,,,,,,,,,,,,,,,,,,2021-06-22 08:40:55,41750cd7-14b8-4986-976f-b18cdfad2bad
B01AUWI4PU,, Allibert ,1,2021-06-22 08:40:56,"About this item         Sun lounger in natural and open rattan look, comes with comfortable cushions graphite     Dimensions (W x D x H) approx. 195 x 65 x 22 cm     Cool box Ice Cube     Tested quality     Made from UV-resistant, all-weather, high-quality polypropylene",,https://www.amazon.de/gp/product/B01AUWI4PU?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=5a63e0e1dea1fdb947cd916d8f984b3b&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg,Allibert Daytona Rattan Wicker Look Cool Box Ice Cube&nbsp;&ndash;&nbsp;Set of 2&nbsp;Graphite Sun Lounger with Cushion,, Allibert ,https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg,Allibert Daytona Rattan Wicker Look Cool Box Ice Cube&nbsp;&ndash;&nbsp;Set of 2&nbsp;Graphite Sun Lounger with Cushion,,Allibert Daytona Rattan Wicker Look Cool Box Ice Cube – Set of 2 Graphite Sun Lounger with Cushion: Meisteraffiliateshop Garten,,34 ,, Allibert ,allibert-daytona-rattan-wicker-look-cool-box-ice-cube–set-of-2graphite-sun-lounger-with-cushion,,Allibert Daytona Rattan Wicker Look Cool Box Ice Cube–Set of 2Grap,,2021-06-22 08:40:56,2021fe73-ece2-4126-bb8f-2d8e8addcda5
B092ZLZJVQ,, your GEAR,1,2021-06-22 08:40:56,"Großer Campingschrank mit stabilem Aluminium Gestell und robustem Oxford Bezug. Aufgebaut hat der Schrank die Maße 86 x 47 x 105 cm. 6 Fächer und eine Ablageplatte bieten viel Platz zur Lagerung     Schrank Ausstattung: Stabile Ablage und Bodenplatten | 6 Einlegeböden mit Aluminium Rand | seitliche Aufbewahrungstasche | Front mit 2 großen Türen | Rückwand mit Moskitonetz | vormontierte Deckelplatte | schneller Aufbau ohne Werkzeug     Zeltschrank mit hoher Standsicherheit. 4 höhenverstellbare Nivellier-Füße bieten sicheren Stand. Komfort Vorzeltschrank mit flacher Packmaß-Höhe von 13 cm - ideal für Wohnmobil, Bus, Wohnwagen     Kompakter &amp; leichter Reiseschrank | 6 Einlegeböden: 38,5 x 38,5 cm | Gewicht: 8,3 kg | kleines Packmaß: 86x48x13 cm | Belastbarkeit: 50 kg | große Tasche für leichtes Einpacken | vor Nässe schützen     Indoor &amp; Outdoor universell einsetzbar! Ob im Zelt beim Camping, als Campingküche zum Kochen, am Garten Grill oder zu Hause, der mobile Schrank bietet viel Stauraum, Ablage- und Lagermöglichkeiten",,https://www.amazon.de/dp/B092ZLZJVQ?psc=1&pd_rd_i=B092ZLZJVQ&pd_rd_w=1GCz4&pf_rd_p=b9377742-1edc-4d5e-b680-070f2360d891&pd_rd_wg=Y1Hts&pf_rd_r=3V0K4PJ1DTB7D4VGDQAB&pd_rd_r=6b7f5a24-c8ee-46cd-8ef7-dc60304cae3a&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVDNYTklFTU9QTjZEJmVuY3J5cHRlZElkPUEwNzYwOTU2MTVXT1A0RzQzWk5IOCZlbmNyeXB0ZWRBZElkPUEwMTU1NjkzMUg0NTlYWlpPNVJDQiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU%3D&linkCode=sl1&tag=meister002-21&linkId=ef24526a72be16f542739b0262c5fc5f&language=de_DE&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/511XGVT8N1S.__AC_SX300_SY300_QL70_ML2_.jpg,your GEAR Campingschrank Ticino 6 F&auml;cher Falt-Schrank Outdoorschrank Camping-K&uuml;che 86x47x105 cm,, your GEAR,https://images-eu.ssl-images-amazon.com/images/I/511XGVT8N1S.__AC_SX300_SY300_QL70_ML2_.jpg,your GEAR Campingschrank Ticino 6 F&auml;cher Falt-Schrank Outdoorschrank Camping-K&uuml;che 86x47x105 cm,,your GEAR Campingschrank Ticino 6 Fächer Falt-Schrank Outdoorschrank Camping-Küche 86x47x105 cm: Meisteraffiliateshop Sport & Freizeit,,,99.95 , your GEAR,your-gear-campingschrank-ticino-6-faecher-falt-schrank-outdoorschrank-camping-kueche-86x47x105-cm,,your GEAR Campingschrank Ticino 6 Fächer Falt-Schrank Outdoorschrank ,,2021-06-22 08:40:56,0e706494-1e78-4e3a-8770-f6aee26c098d
B00S1Q89SU,, Front Runner ,1,2021-06-22 08:40:56,"About this item         With 216 mm, the slimmest roof tent on the market (not including Ladder).     Lightweight, at only 43 kg.     Unfolded, it’s a 1.30 m wide and 2.40 m long roof tent, comfortable for two people.     To attach to the front runner Slimline II roof rack, a front runner roof tent mounting kit is required.     Mattress is included in the tent.",,https://www.amazon.de/Front-Runner-Roof-Top-Tent/dp/B00S1Q89SU?&linkCode=sl1&tag=meister002-21&linkId=19de7b98e8fd9cb87c524ff05637804c&language=en_GB&ref_=as_li_ss_tl,,,https://images-eu.ssl-images-amazon.com/images/I/61ZnweL8gHL.__AC_SY300_SX300_QL70_ML2_.jpg,Front Runner Feather-Lite Roof Tent,, Front Runner ,https://images-eu.ssl-images-amazon.com/images/I/61ZnweL8gHL.__AC_SY300_SX300_QL70_ML2_.jpg,Front Runner Feather-Lite Roof Tent,,Front Runner Feather-Lite Roof Tent: Meisteraffiliateshop Sport & Freizeit,,2 ,, Front Runner ,front-runner-feather-lite-roof-tent,,Front Runner Feather-Lite Roof Tent,,2021-06-22 08:40:56,ceb959e5-c116-47df-857b-b399d3854bf0
